date,day_of_week,is_weekend,is_holiday,weather,temperature,competitor_price,visitors,current_price,revenue,recommended_price
2024-03-03,6,1,0,sunny,29,1224,2848,1138,3241024,1500
2024-03-04,0,0,0,sunny,32,1087,1350,1041,1405350,1308
2024-03-05,1,0,0,sunny,30,1074,1261,1025,1292525,1359
2024-03-06,2,0,0,sunny,39,1088,874,1004,877496,1198
2024-03-07,3,0,0,sunny,39,1125,865,911,788015,1172
2024-03-08,4,0,0,sunny,37,1104,1324,1042,1379608,1183
2024-03-09,5,1,0,sunny,34,1346,2484,1172,2911248,1500
2024-03-10,6,1,0,sunny,36,1287,1949,1096,2136104,1500
2024-03-11,0,0,0,cloudy,36,1015,792,928,734976,1086
2024-03-12,1,0,0,sunny,34,1115,1243,930,1155990,1295
2024-03-13,2,0,0,sunny,30,1124,1211,1017,1231587,1362
2024-03-14,3,0,1,sunny,36,1394,2089,1241,2592449,1500
2024-03-15,4,0,1,cloudy,34,1273,3220,1111,3577420,1500
2024-03-16,5,1,0,sunny,29,1357,2496,1107,2763072,1500
2024-03-17,6,1,0,sunny,33,1207,2758,1003,2766274,1500
2024-03-18,0,0,0,sunny,40,1103,1041,1081,1125321,1177
2024-03-19,1,0,0,cloudy,27,994,1046,983,1028218,1197
2024-03-20,2,0,0,cloudy,38,1014,668,969,647292,1042
2024-03-21,3,0,0,sunny,40,1114,1013,1030,1043390,1189
2024-03-22,4,0,0,rainy,28,880,598,974,582452,1010
2024-03-23,5,1,0,cloudy,26,1234,1937,1155,2237235,1500
2024-03-24,6,1,0,sunny,31,1229,2970,1139,3382830,1500
2024-03-25,0,0,0,cloudy,30,980,1050,923,969150,1178
2024-03-26,1,0,0,sunny,36,1062,1201,1044,1253844,1268
2024-03-27,2,0,0,sunny,29,1046,1473,1100,1620300,1308
2024-03-28,3,0,0,sunny,34,1041,1140,1011,1152540,1248
2024-03-29,4,0,0,sunny,36,1064,1505,1001,1506505,1303
2024-03-30,5,1,0,sunny,39,1289,1901,1153,2191853,1500
2024-03-31,6,1,0,sunny,31,1168,2650,1150,3047500,1500
2024-04-01,0,0,0,sunny,40,1108,1040,1035,1076400,1138
2024-04-02,1,0,0,sunny,35,1086,1263,1087,1372881,1302
2024-04-03,2,0,0,sunny,40,1018,734,1097,805198,1089
2024-04-04,3,0,0,sunny,39,1069,927,977,905679,1178
2024-04-05,4,0,0,sunny,33,1007,1586,932,1478152,1250
2024-04-06,5,1,0,sunny,34,1237,2471,1128,2787288,1500
2024-04-07,6,1,0,sunny,32,1204,2501,1095,2738595,1500
2024-04-08,0,0,0,sunny,28,1093,1153,1064,1226792,1308
2024-04-09,1,0,0,sunny,29,1051,1159,1018,1179862,1317
2024-04-10,2,0,1,cloudy,28,1350,2671,1141,3047611,1500
2024-04-11,3,0,0,cloudy,31,1010,967,1027,993109,1153
2024-04-12,4,0,0,sunny,28,1020,1696,1069,1813024,1395
2024-04-13,5,1,0,cloudy,27,1097,2129,979,2084291,1500
2024-04-14,6,1,1,sunny,35,1500,5000,1153,5765000,1500
2024-04-15,0,0,0,sunny,32,1131,1192,1068,1273056,1276
2024-04-16,1,0,0,sunny,36,1048,1029,1011,1040319,1260
2024-04-17,2,0,0,cloudy,35,965,831,984,817704,1094
2024-04-18,3,0,0,sunny,40,1081,979,1078,1055362,1198
2024-04-19,4,0,0,sunny,30,1131,1643,968,1590424,1454
2024-04-20,5,1,0,sunny,33,1255,2839,1196,3395444,1500
2024-04-21,6,1,1,cloudy,37,1289,4332,1365,5913180,1500
2024-04-22,0,0,0,sunny,35,1067,1448,982,1421936,1300
2024-04-23,1,0,0,sunny,32,1096,1165,926,1078790,1254
2024-04-24,2,0,0,sunny,30,1051,1375,1051,1445125,1323
2024-04-25,3,0,0,sunny,34,1048,1240,918,1138320,1317
2024-04-26,4,0,0,sunny,34,1036,1595,960,1531200,1320
2024-04-27,5,1,0,rainy,37,1091,730,1049,765770,1037
2024-04-28,6,1,0,sunny,34,1153,2816,1083,3049728,1500
2024-04-29,0,0,0,sunny,32,1081,1201,1021,1226221,1286
2024-04-30,1,0,0,sunny,39,1045,782,1030,805460,1134
2024-05-01,2,0,1,cloudy,27,1352,2524,1075,2713300,1500
2024-05-02,3,0,1,sunny,31,1373,3162,1131,3576222,1500
2024-05-03,4,0,1,sunny,30,1417,3757,1141,4286737,1500
2024-05-04,5,1,1,sunny,34,1500,5000,1276,6380000,1500
2024-05-05,6,1,1,cloudy,34,1500,5000,1288,6440000,1500
2024-05-06,0,0,1,sunny,29,1438,4370,1108,4841960,1500
2024-05-07,1,0,1,sunny,40,1328,2608,1210,3155680,1500
2024-05-08,2,0,1,sunny,36,1391,3415,1131,3862365,1500
2024-05-09,3,0,1,sunny,33,1343,3414,1091,3724674,1500
2024-05-10,4,0,1,sunny,32,1364,3546,1248,4425408,1500
2024-05-11,5,1,1,rainy,35,1489,3715,1165,4327975,1500
2024-05-12,6,1,1,sunny,28,1500,5000,1346,6730000,1500
2024-05-13,0,0,1,rainy,35,1173,1937,1258,2436746,1491
2024-05-14,1,0,1,sunny,31,1333,3515,1130,3971950,1500
2024-05-15,2,0,1,cloudy,37,1247,1937,1249,2419313,1480
2024-05-16,3,0,1,rainy,36,1033,1520,1101,1673520,1358
2024-05-17,4,0,1,sunny,33,1302,5000,1147,5735000,1500
2024-05-18,5,1,1,sunny,31,1460,5000,1232,6160000,1500
2024-05-19,6,1,1,cloudy,29,1454,5000,1112,5560000,1500
2024-05-20,0,0,1,sunny,38,1374,2909,1220,3548980,1500
2024-05-21,1,0,1,cloudy,31,1234,2508,1192,2989536,1500
2024-05-22,2,0,1,sunny,37,1250,3185,1184,3771040,1500
2024-05-23,3,0,1,cloudy,38,1429,2037,1123,2287551,1500
2024-05-24,4,0,1,cloudy,33,1260,3192,1126,3594192,1500
2024-05-25,5,1,1,sunny,33,1443,5000,1131,5655000,1500
2024-05-26,6,1,1,sunny,39,1500,3968,1179,4678272,1500
2024-05-27,0,0,1,sunny,29,1344,3176,1094,3474544,1500
2024-05-28,1,0,1,rainy,35,1245,1382,1033,1427606,1460
2024-05-29,2,0,1,sunny,30,1315,4242,1258,5336436,1500
2024-05-30,3,0,1,sunny,38,1377,2295,1246,2859570,1500
2024-05-31,4,0,1,sunny,38,1437,3906,1250,4882500,1500
2024-06-01,5,1,1,cloudy,34,1253,2743,1337,3667391,1500
2024-06-02,6,1,1,rainy,33,1489,2045,1269,2595105,1500
2024-06-03,0,0,1,rainy,30,1151,1103,1086,1197858,1263
2024-06-04,1,0,1,cloudy,32,1292,1790,1280,2291200,1500
2024-06-05,2,0,1,cloudy,32,1280,1611,1036,1668996,1500
2024-06-06,3,0,1,cloudy,25,1273,1855,1191,2209305,1500
2024-06-07,4,0,1,cloudy,33,1321,1812,1047,1897164,1500
2024-06-08,5,1,1,sunny,30,1500,4112,1270,5222240,1500
2024-06-09,6,1,1,rainy,26,1327,2049,1170,2397330,1500
2024-06-10,0,0,1,rainy,21,1075,1021,1111,1134331,1218
2024-06-11,1,0,1,rainy,29,1195,1386,1201,1664586,1416
2024-06-12,2,0,1,cloudy,24,1298,1708,1187,2027396,1500
2024-06-13,3,0,1,cloudy,24,1342,1324,1048,1387552,1500
2024-06-14,4,0,1,rainy,31,1090,1318,1116,1470888,1366
2024-06-15,5,1,1,rainy,26,1305,2141,1366,2924606,1500
2024-06-16,6,1,0,cloudy,28,1073,1958,1129,2210582,1494
2024-06-17,0,0,1,rainy,22,953,1136,1165,1323440,1352
2024-06-18,1,0,0,rainy,26,807,576,1041,599616,957
2024-06-19,2,0,0,cloudy,22,922,769,977,751313,1105
2024-06-20,3,0,0,rainy,29,800,376,1092,410592,895
2024-06-21,4,0,0,rainy,28,832,495,949,469755,967
2024-06-22,5,1,0,rainy,23,1032,1152,1120,1290240,1182
2024-06-23,6,1,0,cloudy,27,1186,1489,1102,1640878,1499
2024-06-24,0,0,0,rainy,24,800,650,994,646100,928
2024-06-25,1,0,0,rainy,25,841,432,903,390096,925
2024-06-26,2,0,0,sunny,34,993,1332,1059,1410588,1256
2024-06-27,3,0,0,cloudy,31,920,871,1023,891033,1068
2024-06-28,4,0,0,sunny,26,1011,1348,980,1321040,1353
2024-06-29,5,1,0,rainy,22,1009,911,1169,1064959,1162
2024-06-30,6,1,0,rainy,23,1064,803,1153,925859,1174
2024-07-01,0,0,0,rainy,25,874,475,934,443650,961
2024-07-02,1,0,0,rainy,26,800,474,1097,519978,889
2024-07-03,2,0,0,sunny,33,960,886,940,832840,1176
2024-07-04,3,0,0,rainy,28,800,463,951,440313,827
2024-07-05,4,0,0,sunny,28,1025,1471,1028,1512188,1347
2024-07-06,5,1,0,sunny,26,1224,2139,1052,2250228,1500
2024-07-07,6,1,0,rainy,22,1103,974,1171,1140554,1256
2024-07-08,0,0,0,cloudy,31,944,831,950,789450,1091
2024-07-09,1,0,0,rainy,31,830,505,1032,521160,822
2024-07-10,2,0,0,cloudy,23,866,993,957,950301,1147
2024-07-11,3,0,0,cloudy,32,899,707,1032,729624,1094
2024-07-12,4,0,0,cloudy,28,913,940,983,924020,1195
2024-07-13,5,1,0,cloudy,28,1070,1781,1207,2149667,1443
2024-07-14,6,1,0,rainy,33,1064,961,1087,1044607,1167
2024-07-15,0,0,0,cloudy,33,908,1037,1066,1105442,1091
2024-07-16,1,0,0,sunny,26,991,885,914,808890,1245
2024-07-17,2,0,0,rainy,30,811,508,1041,528828,883
2024-07-18,3,0,0,rainy,30,877,611,949,579839,992
2024-07-19,4,0,0,cloudy,31,935,974,1038,1011012,1080
2024-07-20,5,1,0,rainy,25,878,1166,1079,1258114,1098
2024-07-21,6,1,0,cloudy,26,1164,2103,1093,2298579,1500
2024-07-22,0,0,0,cloudy,33,938,723,1021,738183,1079
2024-07-23,1,0,0,cloudy,29,949,662,928,614336,1115
2024-07-24,2,0,0,rainy,26,800,405,1014,410670,909
2024-07-25,3,0,0,cloudy,30,878,1051,946,994246,1166
2024-07-26,4,0,0,cloudy,25,956,1355,952,1289960,1215
2024-07-27,5,1,0,rainy,31,984,902,1161,1047222,1129
2024-07-28,6,1,0,cloudy,23,1076,1843,1129,2080747,1500
2024-07-29,0,0,0,sunny,25,1033,1145,989,1132405,1234
2024-07-30,1,0,0,rainy,21,800,282,904,254928,805
2024-07-31,2,0,0,cloudy,29,916,840,914,767760,1104
2024-08-01,3,0,1,sunny,30,1365,3096,1142,3535632,1500
2024-08-02,4,0,0,sunny,25,1014,1272,949,1207128,1344
2024-08-03,5,1,0,rainy,22,1061,692,1110,768120,1194
2024-08-04,6,1,0,rainy,27,924,1187,1201,1425587,1210
2024-08-05,0,0,0,rainy,31,808,465,1023,475695,810
2024-08-06,1,0,0,sunny,32,1062,881,1086,956766,1237
2024-08-07,2,0,0,sunny,28,1031,1152,993,1143936,1336
2024-08-08,3,0,0,cloudy,32,918,960,1086,1042560,1092
2024-08-09,4,0,0,rainy,31,857,539,995,536305,945
2024-08-10,5,1,0,rainy,21,1028,787,1020,802740,1085
2024-08-11,6,1,0,cloudy,23,1054,1695,1038,1759410,1465
2024-08-12,0,0,0,sunny,28,953,1171,901,1055071,1256
2024-08-13,1,0,0,sunny,31,972,901,1067,961367,1255
2024-08-14,2,0,0,rainy,26,863,653,1048,684344,1023
2024-08-15,3,0,1,sunny,33,1191,2296,1018,2337328,1500
2024-08-16,4,0,0,sunny,32,974,1074,901,967674,1276
2024-08-17,5,1,0,cloudy,33,1125,1611,1161,1870371,1403
2024-08-18,6,1,0,cloudy,25,1023,1646,1118,1840228,1377
2024-08-19,0,0,1,rainy,26,1225,966,1151,1111866,1377
2024-08-20,1,0,0,rainy,26,872,530,1088,576640,952
2024-08-21,2,0,0,cloudy,23,952,862,935,805970,1185
2024-08-22,3,0,0,cloudy,24,970,785,906,711210,1136
2024-08-23,4,0,0,sunny,27,1001,1778,940,1671320,1371
2024-08-24,5,1,0,rainy,25,997,1094,1205,1318270,1222
2024-08-25,6,1,0,rainy,33,917,1181,1007,1189267,1049
2024-08-26,0,0,0,cloudy,33,913,711,909,646299,1115
2024-08-27,1,0,0,cloudy,32,958,669,1001,669669,1033
2024-08-28,2,0,0,rainy,27,858,725,951,689475,1008
2024-08-29,3,0,0,sunny,30,951,1117,1017,1135989,1240
2024-08-30,4,0,0,rainy,22,800,583,976,569008,937
2024-08-31,5,1,0,sunny,27,1108,1769,1166,2062654,1500
2024-09-01,6,1,0,rainy,24,935,1775,1050,1863750,1272
2024-09-02,0,0,0,sunny,30,1130,1247,950,1184650,1328
2024-09-03,1,0,0,rainy,25,971,700,1090,763000,1016
2024-09-04,2,0,0,cloudy,27,979,953,1009,961577,1134
2024-09-05,3,0,0,cloudy,25,983,1127,978,1102206,1237
2024-09-06,4,0,0,rainy,28,860,728,1082,787696,927
2024-09-07,5,1,1,cloudy,34,1390,3827,1221,4672767,1500
2024-09-08,6,1,0,rainy,29,1129,1220,1067,1301740,1218
2024-09-09,0,0,0,cloudy,30,981,1114,941,1048274,1217
2024-09-10,1,0,0,rainy,25,889,480,1022,490560,895
2024-09-11,2,0,0,sunny,24,1120,1604,942,1510968,1419
2024-09-12,3,0,0,cloudy,31,1006,1183,986,1166438,1206
2024-09-13,4,0,0,cloudy,23,1026,1130,970,1096100,1223
2024-09-14,5,1,0,sunny,35,1247,2176,1070,2328320,1500
2024-09-15,6,1,0,rainy,26,1081,1338,1098,1469124,1274
2024-09-16,0,0,0,rainy,24,926,514,934,480076,870
2024-09-17,1,0,0,rainy,20,824,343,917,314531,868
2024-09-18,2,0,0,cloudy,32,978,969,1059,1026171,1184
2024-09-19,3,0,0,rainy,33,919,733,1084,794572,939
2024-09-20,4,0,0,cloudy,28,1002,1222,1039,1269658,1226
2024-09-21,5,1,0,sunny,33,1300,2503,1228,3073684,1500
2024-09-22,6,1,0,sunny,24,1199,2948,1158,3413784,1500
2024-09-23,0,0,0,sunny,28,1075,1390,979,1360810,1325
2024-09-24,1,0,0,rainy,21,907,663,940,623220,955
2024-09-25,2,0,0,cloudy,25,1044,1256,1000,1256000,1266
2024-09-26,3,0,0,sunny,28,1109,1556,1006,1565336,1400
2024-09-27,4,0,1,sunny,33,1368,3033,1171,3551643,1500
2024-09-28,5,1,0,rainy,26,1088,1325,1183,1567475,1320
2024-09-29,6,1,0,cloudy,23,1164,2002,1094,2190188,1500
2024-09-30,0,0,0,rainy,29,864,649,1058,686642,995
2024-10-01,1,0,0,sunny,23,1291,1339,1036,1387204,1448
2024-10-02,2,0,1,cloudy,26,1434,3078,1071,3296538,1500
2024-10-03,3,0,0,rainy,20,1020,664,921,611544,953
2024-10-04,4,0,0,sunny,32,1316,1883,1087,2046821,1500
2024-10-05,5,1,0,sunny,27,1469,3588,1131,4058028,1500
2024-10-06,6,1,0,rainy,16,1287,897,1114,999258,1241
2024-10-07,0,0,0,sunny,22,1205,1706,932,1589992,1471
2024-10-08,1,0,0,rainy,26,1006,772,1005,775860,1105
2024-10-09,2,0,0,cloudy,20,1083,1146,1004,1150584,1161
2024-10-10,3,0,0,sunny,26,1242,1690,934,1578460,1480
2024-10-11,4,0,0,sunny,32,1296,1506,905,1362930,1463
2024-10-12,5,1,1,cloudy,21,1500,4697,1191,5594127,1500
2024-10-13,6,1,0,cloudy,26,1420,2369,1090,2582210,1500
2024-10-14,0,0,0,sunny,31,1152,1593,1028,1637604,1421
2024-10-15,1,0,0,sunny,21,1277,1684,917,1544228,1438
2024-10-16,2,0,0,sunny,29,1189,1466,1058,1551028,1437
2024-10-17,3,0,0,cloudy,25,1159,1201,975,1170975,1378
2024-10-18,4,0,0,rainy,26,1046,918,1087,997866,1083
2024-10-19,5,1,0,sunny,23,1484,3337,1044,3483828,1500
2024-10-20,6,1,0,cloudy,28,1383,3017,1215,3665655,1500
2024-10-21,0,0,0,sunny,32,1231,1555,1049,1631195,1365
2024-10-22,1,0,0,sunny,24,1250,1449,1013,1467837,1475
2024-10-23,2,0,0,cloudy,24,1142,1239,962,1191918,1277
2024-10-24,3,0,1,cloudy,27,1363,2948,1238,3649624,1500
2024-10-25,4,0,1,sunny,23,1456,5000,1242,6210000,1500
2024-10-26,5,1,1,cloudy,26,1500,5000,1192,5960000,1500
2024-10-27,6,1,1,sunny,20,1500,5000,1340,6700000,1500
2024-10-28,0,0,1,cloudy,28,1331,2808,1039,2917512,1500
2024-10-29,1,0,0,sunny,23,1202,1373,942,1293366,1438
2024-10-30,2,0,0,sunny,30,1236,1561,1007,1571927,1473
2024-10-31,3,0,0,cloudy,29,1170,1483,1050,1557150,1336
2024-11-01,4,0,1,sunny,27,1500,5000,1156,5780000,1500
2024-11-02,5,1,0,cloudy,22,1263,1989,1031,2050659,1500
2024-11-03,6,1,0,cloudy,27,1374,2885,1049,3026365,1500
2024-11-04,0,0,0,sunny,28,1269,1562,1054,1646348,1424
2024-11-05,1,0,0,sunny,23,1281,1498,936,1402128,1412
2024-11-06,2,0,0,cloudy,18,1155,1155,1019,1176945,1234
2024-11-07,3,0,0,rainy,27,986,761,993,755673,1047
2024-11-08,4,0,0,cloudy,24,1153,1474,1029,1516746,1319
2024-11-09,5,1,0,sunny,25,1421,2803,1041,2917923,1500
2024-11-10,6,1,0,cloudy,24,1332,2993,1138,3406034,1500
2024-11-11,0,0,0,sunny,24,1245,1867,924,1725108,1488
2024-11-12,1,0,0,sunny,25,1238,1374,923,1268202,1360
2024-11-13,2,0,0,sunny,22,1200,1370,966,1323420,1423
2024-11-14,3,0,1,sunny,21,1500,4150,1101,4569150,1500
2024-11-15,4,0,0,rainy,21,1128,884,1019,900796,1099
2024-11-16,5,1,0,cloudy,25,1276,2346,1139,2672094,1500
2024-11-17,6,1,0,rainy,25,1295,1320,1090,1438800,1376
2024-11-18,0,0,0,sunny,31,1288,1463,1043,1525909,1368
2024-11-19,1,0,0,rainy,15,1073,389,925,359825,950
2024-11-20,2,0,0,rainy,27,1072,650,939,610350,1024
2024-11-21,3,0,0,sunny,28,1239,1843,922,1699246,1459
2024-11-22,4,0,0,sunny,22,1245,1829,952,1741208,1500
2024-11-23,5,1,0,cloudy,26,1314,2212,1196,2645552,1500
2024-11-24,6,1,0,sunny,20,1428,3374,1187,4004938,1500
2024-11-25,0,0,0,sunny,28,1315,1645,919,1511755,1451
2024-11-26,1,0,0,cloudy,28,1094,1335,915,1221525,1304
2024-11-27,2,0,1,cloudy,21,1472,2383,1166,2778578,1500
2024-11-28,3,0,0,sunny,21,1227,1446,1021,1476366,1337
2024-11-29,4,0,0,rainy,17,1082,538,901,484738,1038
2024-11-30,5,1,0,sunny,25,1436,3368,1062,3576816,1500
2024-12-01,6,1,0,cloudy,21,1332,2089,1055,2203895,1500
2024-12-02,0,0,0,sunny,24,1239,1610,982,1581020,1431
2024-12-03,1,0,0,cloudy,22,1137,1219,1082,1318958,1264
2024-12-04,2,0,0,cloudy,15,1210,848,1052,892096,1260
2024-12-05,3,0,0,cloudy,15,1152,923,953,879619,1178
2024-12-06,4,0,0,sunny,17,1263,1719,939,1614141,1399
2024-12-07,5,1,0,cloudy,18,1274,2425,1010,2449250,1500
2024-12-08,6,1,0,cloudy,22,1391,2561,988,2530268,1500
2024-12-09,0,0,0,cloudy,15,1156,799,985,787015,1198
2024-12-10,1,0,0,cloudy,20,1135,925,993,918525,1191
2024-12-11,2,0,0,cloudy,23,1129,1092,1043,1138956,1264
2024-12-12,3,0,0,sunny,16,1161,1211,914,1106854,1389
2024-12-13,4,0,0,sunny,15,1202,1281,1008,1291248,1311
2024-12-14,5,1,0,cloudy,24,1410,2704,1134,3066336,1500
2024-12-15,6,1,0,sunny,23,1333,3816,975,3720600,1500
2024-12-16,0,0,0,sunny,15,1214,1052,1030,1083560,1332
2024-12-17,1,0,0,cloudy,16,1223,926,917,849142,1156
2024-12-18,2,0,0,sunny,16,1183,1150,1040,1196000,1351
2024-12-19,3,0,0,sunny,23,1154,1944,958,1862352,1497
2024-12-20,4,0,1,cloudy,19,1407,2467,1148,2832116,1500
2024-12-21,5,1,1,sunny,17,1500,4855,1311,6364905,1500
2024-12-22,6,1,1,rainy,16,1500,2086,1180,2461480,1500
2024-12-23,0,0,1,sunny,15,1500,2340,1283,3002220,1500
2024-12-24,1,0,1,cloudy,20,1478,2240,1098,2459520,1500
2024-12-25,2,0,1,cloudy,16,1430,1787,1203,2149761,1500
2024-12-26,3,0,1,cloudy,23,1483,2406,1273,3062838,1500
2024-12-27,4,0,1,sunny,20,1453,4342,1235,5362370,1500
2024-12-28,5,1,1,sunny,23,1500,5000,1286,6430000,1500
2024-12-29,6,1,1,sunny,22,1500,5000,1301,6505000,1500
2024-12-30,0,0,1,sunny,19,1500,2837,1207,3424259,1500
2024-12-31,1,0,1,sunny,21,1500,3083,1222,3767426,1500
2025-01-01,2,0,1,cloudy,16,1242,1500,1259,1888500,1485
2025-01-02,3,0,0,sunny,19,1124,1522,906,1378932,1341
2025-01-03,4,0,0,sunny,25,1045,1760,1088,1914880,1393
2025-01-04,5,1,0,sunny,19,1314,2489,1215,3024135,1500
2025-01-05,6,1,0,cloudy,20,1113,2344,1121,2627624,1500
2025-01-06,0,0,0,sunny,24,1098,1266,920,1164720,1339
2025-01-07,1,0,0,sunny,18,1083,1063,913,970519,1297
2025-01-08,2,0,0,cloudy,17,990,739,1036,765604,1089
2025-01-09,3,0,0,cloudy,23,1006,1323,990,1309770,1213
2025-01-10,4,0,0,sunny,19,1060,1444,901,1301044,1295
2025-01-11,5,1,0,sunny,16,1272,2235,1034,2310990,1500
2025-01-12,6,1,0,sunny,21,1121,3198,1168,3735264,1500
2025-01-13,0,0,0,sunny,20,1074,1307,901,1177607,1284
2025-01-14,1,0,1,sunny,20,1398,2482,1134,2814588,1500
2025-01-15,2,0,0,rainy,22,836,625,1013,633125,992
2025-01-16,3,0,0,cloudy,21,1018,987,1024,1010688,1179
2025-01-17,4,0,0,cloudy,15,1011,970,946,917620,1148
2025-01-18,5,1,0,cloudy,17,1209,1490,1160,1728400,1401
2025-01-19,6,1,0,cloudy,19,1147,2375,1072,2546000,1500
2025-01-20,0,0,0,cloudy,21,967,1055,1006,1061330,1154
2025-01-21,1,0,0,sunny,16,1090,816,1087,886992,1247
2025-01-22,2,0,0,sunny,20,1049,1128,1026,1157328,1282
2025-01-23,3,0,0,sunny,17,1055,1166,1047,1220802,1271
2025-01-24,4,0,0,sunny,17,1079,1402,932,1306664,1286
2025-01-25,5,1,0,sunny,24,1173,2916,1147,3344652,1500
2025-01-26,6,1,1,cloudy,18,1452,4728,1294,6118032,1500
2025-01-27,0,0,0,sunny,23,1042,1300,1020,1326000,1309
2025-01-28,1,0,0,cloudy,15,954,733,1053,771849,1100
2025-01-29,2,0,0,cloudy,24,961,1047,997,1043859,1184
2025-01-30,3,0,0,sunny,23,1017,1786,1049,1873514,1396
2025-01-31,4,0,0,sunny,17,1006,1319,1000,1319000,1251
2025-02-01,5,1,0,sunny,21,1163,2451,1115,2732865,1500
2025-02-02,6,1,0,sunny,22,1243,3316,1038,3442008,1500
2025-02-03,0,0,0,sunny,22,1127,1486,928,1379008,1398
2025-02-04,1,0,0,sunny,23,1067,1308,1018,1331544,1305
2025-02-05,2,0,0,sunny,20,1038,1197,988,1182636,1218
2025-02-06,3,0,0,sunny,18,1037,1343,1089,1462527,1259
2025-02-07,4,0,0,sunny,17,1051,1125,1035,1164375,1260
2025-02-08,5,1,0,rainy,15,1177,754,1039,783406,1128
